Time,Strain
-1.767578124,0.0
-1.767333983375,9.029695315703155e-29
-1.76708984275,3.5533341220426373e-28
-1.766845702125,7.857175691010753e-28
-1.7666015615,1.3712523501446801e-27
-1.766357420875,2.1009604412105277e-27
-1.76611328025,2.963126607039154e-27
-1.765869139625,3.94535257740252e-27
-1.765624999,5.034616479457788e-27
-1.765380858375,6.217326524404751e-27
-1.76513671775,7.479356069014495e-27
-1.764892577125,8.806047618793971e-27
-1.7646484365,1.0182183912132457e-26
-1.764404295875,1.1591944808490057e-26
-1.76416015525,1.3018886154784365e-26
-1.763916014625,1.444597649863146e-26
-1.763671874,1.5855708155433564e-26
-1.763427733375,1.7230270440749817e-26
-1.76318359275,1.8551743898885453e-26
-1.762939452125,1.9802253863694407e-26
-1.7626953115,2.0964025194718856e-26
-1.762451170875,2.2019318710510735e-26
-1.76220703025,2.2950288000091445e-26
-1.761962889625,2.3738834786417747e-26
-1.761718749,2.4366538275580534e-26
-1.761474608375,2.4814701574469112e-26
-1.76123046775,2.5064520758228268e-26
-1.760986327125,2.5097346015955978e-26
-1.7607421865,2.489496969152002e-26
-1.760498045875,2.443986265226944e-26
-1.76025390525,2.3715309532088896e-26
-1.760009764625,2.270544548986234e-26
-1.759765624,2.139522184011565e-26
-1.759521483375,1.9770309329467402e-26
-1.75927734275,1.781692990688541e-26
-1.759033202125,1.552163304052554e-26
-1.7587890615,1.2871081411312027e-26
-1.758544920875,9.851933185423357e-27
-1.75830078025,6.4508938763368784e-27
-1.758056639625,2.654983706823495e-27
-1.757812499,-1.5479783058034762e-27
-1.757568358375,-6.1687646664613235e-27
-1.75732421775,-1.1216208413172351e-26
-1.757080077125,-1.669698778797059e-26
-1.7568359365,-2.2615851501036724e-26
-1.756591795875,-2.897621931090576e-26
-1.75634765525,-3.578095143615436e-26
-1.756103514625,-4.303303725893955e-26
-1.755859374,-5.073597191688231e-26
-1.755615233375,-5.889365610926005e-26
-1.75537109275,-6.750980698395017e-26
-1.755126952125,-7.65870804975467e-26
-1.7548828115,-8.612624099071103e-26
-1.754638670875,-9.612566308260153e-26
-1.75439453025,-1.065812753347639e-25
-1.754150389625,-1.1748690643205315e-25
